title,titre_original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,public,pays_d_origine,langue_d_origine
"
Napoléon ",Napoleon,"3,0","2,3","Aventure,Biopic,Historique,Guerre","
22 novembre 2023
","
2h 38min
","L'ascension et à la chute de l'Empereur Napoléon Bonaparte. Le film retrace la conquête acharnée du pouvoir par Bonaparte à travers le prisme de ses rapports passionnels et tourmentés avec Joséphine, le grand amour de sa vie.","Joaquin Phoenix,Vanessa Kirby,Tahar Rahim",Ridley Scott,"Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs"," Grande-Bretagne, U.S.A.","
Anglais"
"
Excursion ",Ekskurzija,"3,0","2,7",Drame,"
12 juin 2024
","
1h 30min
","À Sarajevo, Iman, une adolescente en quête de reconnaissance, affirme lors d’un “action ou vérité” entre collégiens avoir fait l’amour pour la première fois. Prisonnière de son propre mensonge, elle invente une grossesse et devient le centre d’une controverse qui échappe à tout contrôle.","Asja Zara Lagumdžija,Nađa Spaho,Maja Izetbegovic",Una Gunjak,," Bosnie-Herzégovine, Croatie, Norvège, Serbie",Long métrage
"
Une vie cachée ",A Hidden Life,"3,8","3,9","Biopic,Drame","
11 décembre 2019
","
2h 54min
",Inspiré de faits réels.,"August Diehl,Valerie Pachner,Maria Simon",Terrence Malick,," U.S.A., Allemagne","
Anglais, Allemand"
"
Foudre ",,"3,7","2,9",Drame,"
22 mai 2024
","
1h 32min
","Été 1900, au cœur d'une vallée du sud de la Suisse. Elisabeth, 17 ans, est sur le point de prononcer ses vœux après 5 ans passés au couvent. La mort soudaine de sa sœur l'oblige à retourner dans la ferme familiale pour assumer son nouveau rôle d'aînée. Elisabeth se retrouve vite asphyxiée par cette vie de labeur et obsédée par les mystères qui entourent la disparition de sa sœur. Elle va alors chercher à s'affranchir de son statut et de ses nouveaux engagements.","Lilith Grasmug,Mermoz Melchior,François Revaclier",Carmen Jaquier,Tout public, Suisse,"
-
"
"
Abigail ",,"3,1","3,0","Epouvante-horreur,Thriller","
29 mai 2024
","
1h 49min
","Suite au kidnapping de la fille d’un puissant magnat de la pègre, un groupe de criminels amateurs pensaient simplement devoir enfermer et surveiller cette jeune ballerine afin de pouvoir réclamer une rançon de 50 millions de dollars. Retirés dans un manoir isolé, les ravisseurs commencent mystérieusement à disparaître, les uns après les autres, au fil de la nuit. C’est alors qu’ils découvrent avec horreur, que la fillette avec lesquels ils sont enfermés n’a rien d’ordinaire.","Melissa Barrera,Dan Stevens,Alisha Weir",Matt Bettinelli-Olpin,Interdit - 12 ans, U.S.A.,"
-
"
"
Les Intrus ",The Strangers: Chapter 1,"2,9",,"Epouvante-horreur,Thriller","
15 mai 2024
","
1h 31min
","Lors d’un road-trip en amoureux, un jeune couple tombe en panne et doit s’arrêter dans un village reclus. Ils vont vivre une nuit de terreur en affrontant trois individus masqués, qui sans motif apparent, veulent les tuer.","Madelaine Petsch,Froy Gutierrez,Rachel Shenton",Renny Harlin,Interdit - 12 ans avec avertissement, U.S.A.,"
-
"
"
Challengers ",,"3,3","3,4","Drame,Romance","
24 avril 2024
","
2h 11min
","Durant leurs études, Patrick et Art, tombent amoureux de Tashi. À la fois amis, amants et rivaux, ils voient tous les trois leurs chemins se recroiser des années plus tard. Leur passé et leur présent s’entrechoquent et des tensions jusque-là inavouées refont surface."," Zendaya,Josh O'Connor,Mike Faist",Luca Guadagnino,Tout public, U.S.A.,"
-
"
"
Salem ",,"2,6","2,5","Drame,Romance","
29 mai 2024
","
1h 43min
","Djibril est un jeune comorien des Sauterelles, un quartier difficile de Marseille. Il est amoureux de Camilla, une gitane du quartier rival des Grillons. Lorsqu’elle lui apprend qu’elle est enceinte, Djibril lui demande d’avorter pour ne pas déclencher une guerre des clans. Mais l’assassinat d’un ami de Djibril, sous ses yeux, va embraser les deux cités. Traumatisé, Djibril sombre peu à peu dans la folie. Il est persuadé qu'une malédiction s'est abattue sur le quartier et décide de garder à tout prix son enfant : pour lui, seule sa fille pourra les sauver du chaos.","Dalil Abdourahim,Oumar Moindjie,Wallen El Gharbaoui",Jean-Bernard Marlin,Interdit - 12 ans, France,"
-
"
"
Atlas ",,"2,5",,"Action,Science Fiction,Thriller",24 mai 2024,"
1h 58min
","Brillante analyste de données, Atlas Shepherd est misanthrope et se méfie totalement de l’intelligence artificielle. Tandis qu’elle se lance dans une mission destinée à capturer un robot rebelle, elle comprend qu’elle a déjà eu affaire à cette mystérieuse machine par le passé. Alors que la mission ne se déroule pas comme prévu, il ne reste plus à Atlas qu’à faire enfin confiance à l’IA si elle veut sauver l’avenir de l’humanité...","Jennifer Lopez,Simu Liu,Sterling K. Brown",Brad Peyton,, U.S.A.,-
"
Chien blanc ",,"2,5","2,8",Drame,"
22 mai 2024
","
1h 36min
","1968 - Etats-Unis. Martin Luther King est assassiné et les haines raciales mettent le pays à feu et à sang. Romain Gary et sa femme l’actrice Jean Seberg, qui vivent à Los Angeles, recueillent un chien égaré, dressé exclusivement pour attaquer les Noirs : un chien blanc. L'écrivain, amoureux des animaux, refuse de le faire euthanasier, au risque de mettre en péril sa relation avec Jean, militante pour les droits civiques et très active au sein des Black Panthers.","Denis Ménochet,Kacey Rohl,K.C. Collins",Anaïs Barbeau-Lavalette,Tout public, Canada,"
-
"
