title,titre_original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,public,pays_d_origine,langue_d_origine
"
Bad Boys Ride or Die ",,"2,6","3,4",Action,"
5 juin 2024
","
1h 55min
","Cet été, la franchise Bad Boys est de retour avec son mélange iconique d'action explosive et d'humour irrévérencieux. Mais cette fois-ci, les meilleurs flics de Miami deviennent les hommes les plus recherchés d'Amérique.","Will Smith,Martin Lawrence,Vanessa Hudgens",Adil El Arbi,Tout public, U.S.A.,"
-
"
"
Furiosa: une saga Mad Max ",Furiosa: A Mad Max Saga,"4,0","4,1","Action,Science Fiction","
22 mai 2024
","
2h 28min
","Dans un monde en déclin, la jeune Furiosa est arrachée à la Terre Verte et capturée par une horde de motards dirigée par le redoutable Dementus. Alors qu’elle tente de survivre à la Désolation, à Immortan Joe et de retrouver le chemin de chez elle, Furiosa n’a qu’une seule obsession : la vengeance.","Anya Taylor-Joy,Chris Hemsworth,Tom Burke",George Miller,Interdit - 12 ans," Australie, U.S.A.","
Anglais"
"
Sous la Seine ",,"2,0","1,7","Action,Thriller",5 juin 2024,"
1h 44min
","Été 2024, Paris accueille pour la première fois les championnats du monde de triathlon sur la Seine. Sophia, brillante scientifique, est alertée par Mika, une jeune activiste dévouée à l’écologie, de la présence d'un grand requin dans les profondeurs du fleuve. Elles n’ont d’autre choix que de faire équipe avec Adil, commandant de la police fluviale pour éviter un bain de sang au cœur de la ville.","Bérénice Bejo,Nassim Lyes,Anaïs Parello",Xavier Gens,, France,-
"
Un p’tit truc en plus ",,"3,0","3,2",Comédie,"
1 mai 2024
","
1h 39min
","Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais."," Artus,Clovis Cornillac,Marc Riso", Artus,Tout public, France,"
-
"
"
Meurtres à Arles ",,"3,3","2,4",Policier,"
8 juin 2024
","
1h 30min
","Sarah Cortes est issue d’une famille de manadiers qui élève des taureaux depuis plusieurs générations. Sarah doit se marier à la fin de la semaine avec Louis qu’elle connaît depuis toujours. Le commandant Lucas Pujol est un jeune officier modèle surdiplômé. Entre Sarah et Lucas, une amitié est née comme une évidence, entre le feu et la glace. Deux opposés qui s’attirent sans pour autant reconnaître leurs sentiments, des sentiments certainement plus profonds. Dans les gradins des arènes d’Arles, c’est l’élection de la nouvelle reine de la ville. Mais à l’annonce de son nom, Aline Garnier, ne se présente pas. Soudain la calèche censée emmener la reine pour sa présentation au public, déboule en trombe dans les arènes. Pas de reine à son bord, mais un corps inerte : celui du président de l’association de l’élection. La reine Aline, en vraie Arlésienne, a disparu, ne laissant qu’un pic à cheveux ensanglanté derrière elle. Sarah et Lucas devront ensemble enquêter dans le pays d'Arles, des arènes aux manades, en passant par les marais salants, entre légende, tradition et modernité́́, pour résoudre cette enquête pleine de mystères.","Constance Gay,François-David Cardonnel,Pierre Andrau",Octave Rapspail,, France,-
"
L’Affaire Vinča Curie ",Cuvari formule,"3,2","3,8",Drame,"
5 juin 2024
","
2h 00min
","Octobre 1958, en pleine guerre froide, des scientifiques yougoslaves sont gravement irradiés dans le cadre d’une mission tenue secrète. Ils sont soupçonnés de travailler à la fabrication d’une bombe nucléaire. Rapatriés en France, ils sont pris en charge par le professeur Mathé à l’Institut Curie. Une course contre la montre s’engage alors pour les sauver…","Alexis Manenti,Radivoje Bukvic,Jérémie Laheurte",Dragan Bjelogrlic,Tout public," Serbie, Slovénie, Macédoine",-
"
N’avoue jamais ",,"2,5","3,0",Comédie,"
24 avril 2024
","
1h 34min
","Après 50 ans de mariage, François Marsault, général à la retraite, est encore fou amoureux d’Annie, sa femme. Lorsqu’il découvre qu’elle l’a trompé 40 ans plus tôt, son sang ne fait qu’un tour. Afin de laver son honneur, une seule solution : la quitter et partir manu militari retrouver Boris, l’ancien amant, pour lui casser la figure. Mais à son âge, l’affaire n’est pas si simple…","André Dussollier,Sabine Azéma,Thierry Lhermitte",Ivan Calbérac,Tout public, France,"
Français"
"
Border Line ",Upon Entry (La llegada),"3,6","3,9","Drame,Thriller","
1 mai 2024
","
1h 17min
","Projetant de démarrer une nouvelle vie aux États-Unis, Diego et Elena quittent Barcelone pour New-York. Mais à leur arrivée à l’aéroport, la Police des Frontières les interpelle pour les soumettre à un interrogatoire. D'abord anodines, les questions des agents se font de plus en plus intimidantes. Diego et Elena sont alors gagnés par le sentiment qu'un piège se referme sur eux...","Alberto Ammann,Bruna Cusí,Ben Temple",Juan Sebastián Vásquez,Tout public, Espagne,"
-
"
"
The Bikeriders ",,"3,6","3,5","Policier,Drame","
19 juin 2024
","
1h 56min
","Dans un bar de la ville, Kathy, jeune femme au tempérament bien trempé, croise Benny, qui vient d’intégrer la bande de motards des Vandals, et tombe aussitôt sous son charme. À l’image du pays tout entier, le gang, dirigé par l’énigmatique Johnny, évolue peu à peu... Alors que les motards accueillaient tous ceux qui avaient du mal à trouver leur place dans la société, les Vandals deviennent une bande de voyous sans vergogne. Benny devra alors choisir entre Kathy et sa loyauté envers le gang.","Austin Butler,Jodie Comer,Tom Hardy",Jeff Nichols,Tout public avec avertissement, U.S.A.,"
-
"
"
Il faut sauver le soldat Ryan ",Saving Private Ryan,"3,0","4,4","Drame,Guerre","
30 septembre 1998
","
2h 43min
","Alors que les forces alliées débarquent à Omaha Beach, Miller doit conduire son escouade derrière les lignes ennemies pour une mission particulièrement dangereuse : trouver et ramener sain et sauf le simple soldat James Ryan, dont les trois frères sont morts au combat en l'espace de trois jours. Pendant que l'escouade progresse en territoire ennemi, les hommes de Miller se posent des questions. Faut-il risquer la vie de huit hommes pour en sauver un seul ?","Ryan Hurst,Tom Hanks,Tom Sizemore",Steven Spielberg,Tout public avec avertissement, U.S.A.,"
-
"
"
Mothers' Instinct ",,"3,0",,"Drame,Thriller",7 juin 2024,"
1h 34min
","Deux meilleures amies et voisines Alice et Céline mènent toutes deux une vie en apparence idyllique dans la plus parfaite harmonie. Celle-ci est soudainement brisée par un tragique accident. Culpabilité, suspicion et paranoïa vont alors faire voler en éclats la relation entre les deux femmes.","Anne Hathaway,Jessica Chastain,Caroline Lagerfelt",Benoît Delhomme,," Belgique, U.S.A.",-
"
Les Couleurs du mal : Rouge ",Kolory zla. Czerwien,"3,0",,"Policier,Drame,Thriller",29 mai 2024,"
1h 51min
",Un meurtre horrible sur une plage de la Tricité dévoile un monde criminel insoupçonné et met à l'épreuve le courage d'un procureur et d'une mère éplorée en quête de réponses.,"Jakub Gierszal,Maja Ostaszewska,Zofia Jastrzebska",Adrian Panek,, Pologne,-
