title,titre original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,pays_d_origine,nombre_de_saisons,nombre_d_episodes
"
Le Problème à 3 corps ",3 Body Problem,"3,8","3,9","Drame,Science Fiction","
Depuis 2024
","
60 min
","Une décision prise par une jeune femme en Chine dans les années 60 a des répercussions spatio-temporelles jusque dans le présent. Lorsque les lois de la nature se délitent inexplicablement sous les yeux d'un groupe soudé de brillants scientifiques, ils unissent leurs forces à celles d'un inspecteur inflexible pour affronter la plus grande menace de toute l'histoire de l'humanité.","Jovan Adepo,Liam Cunningham,Eiza Gonzalez","David Benioff,D.B. Weiss", U.S.A.,3 Saisons,8 Episodes
"
Maxton Hall - Le monde qui nous sépare ",Maxton Hall - Die Welt zwischen uns,"3,1","4,3",Drame,"
Depuis 2024
","
42 min
","Lorsque Ruby est involontairement témoin d'un secret explosif à l'école privée Maxton Hall, l'arrogant héritier millionnaire James Beaufort doit faire face à la vivacité d'esprit de l'étudiante pour le meilleur et pour le pire : il est déterminé à faire taire Ruby. Leur échange passionné de mots déclenche inopinément une étincelle ...","Harriet Herbig-Matten,Damian Hardung,Sonja Weißer",Daphne Ferraro, Allemagne,2 Saisons,6 Episodes
"
Those About to Die ",,,,"Action,Drame,Historique,Péplum","
18 juillet 2024 sur Peacock
","
60 min
","Rome en 79 après Jésus-Christ : Le centre de l'Empire romain est la ville la plus riche du monde, et l'on assiste à un afflux massif d'esclaves venus de l'empire en expansion pour prendre en charge le travail. La population romaine - ennuyée, agitée et de plus en plus violente - est maintenue dans le droit chemin principalement par deux choses : de la nourriture gratuite et des divertissements spectaculaires, sous la forme de courses de chars et de combats de gladiateurs.,Les courses du Circus Maximus sont contrôlées par quatre corporations appartenant à des patriciens, les factions bleue, rouge, blanche et verte, et les actions de ces quatre factions sont les choses les plus précieuses de Rome. Les goûts de la population en matière de divertissement devenant de plus en plus blasés et assoiffés de sang, un stade spécialement conçu pour les combats de gladiateurs s'impose : le Colisée. L'ampleur du stade, des combats de gladiateurs et d'animaux est énorme, tout comme le monde souterrain et ses paris florissants. Sous terre, sous les gradins, des milliers de personnes travaillent et vivent, parmi lesquelles des milliers de personnes qui mourront pour les jeux.","Anthony Hopkins,Iwan Rheon,Tom Hughes",Robert Rodat," U.S.A., Allemagne, Italie",1 Saison,10 Episodes
"
HPI ",,"3,4","3,6","Comédie,Policier","
Depuis 2021
","
52 min
","Morgane, 38 ans, 3 enfants, 2 ex, 5 crédits, 160 de QI et une bonne dose d’insoumission, va voir son destin de femme de ménage chamboulé lorsque ses capacités hors norme sont repérées par la police qui lui propose un poste de consultante. Problème : Morgane déteste les flics !","Audrey Fleurot,Mehdi Nebbou,Bruno Sanches","Nicolas Jean,Alice Chegaray-Breugnot", France,4 Saisons,32 Episodes
"
Grey's Anatomy ",,"3,2","3,9","Drame,Médical","
Depuis 2005
","
42 min
","Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage...","Chandra Wilson,Ellen Pompeo,Chandra Wilson",Shonda Rhimes, U.S.A.,21 Saisons,435 Episodes
"
Anthracite : Le mystère de la secte des Ecrins ",Anthracite,"3,3","3,0","Drame,Thriller","
2024
","
50 min
","En 1994, le suicide collectif d’une secte installée dans un petit village des Alpes défraye la chronique… 30 ans plus tard, le meurtre d’une femme assassinée selon les rituels de l’étrange communauté met à feu et à sang l’équilibre précaire retrouvé par les habitants. Bouc émissaire idéal, Jaro Gatsi, un jeune délinquant venu à la montagne pour remettre sa vie sur les rails, se retrouve rapidement accusé du meurtre. Déterminé à prouver son innocence, il reçoit l’aide inattendue d’Ida, une geek excentrique et ultra-connectée qui est à la recherche de son père disparu…Ils vont rapidement comprendre que leur implication dans cette affaire ne doit rien au hasard, et que les réponses qu’ils cherchent prennent racine dans les secrets de leur propre passé…","Noémie Schmidt, Hatik,Camille Lou","Fanny Robert,Maxime Berthemy", France,1 Saison,6 Episodes
"
Fallout ",,"3,7","4,3","Action,Aventure,Science Fiction","
Depuis 2024
","
55 min
","Une terrible catastrophe nucléaire contraint les survivants ""privilégiés"" à se réfugier dans des Vaults, des bunkers anti-atomiques construits pour préserver l'humanité en cas d'apocalypse. 200 ans plus tard, une jeune femme quitte l'Abri 33 et s'aventure à la surface, à la recherche de son père, dans un monde dévasté et violent. ","Ella Purnell,Aaron Moten,Walton Goggins","Lisa Joy,Jonathan Nolan", U.S.A.,2 Saisons,9 Episodes
"
Contre toi ",,"3,1","2,6","Drame,Romance","
Depuis 2024
","
52 min
","Esther et Fred Cavalieri forment un couple flamboyant et profondément uni à leurs deux enfants. Alors pourquoi Esther, une femme en apparence sans histoire et sans ennemi, se retrouve-t-elle en danger de mort ? Pour la protéger, Fred embauche Mathias, un garde du corps, le temps que la police trouve le coupable. Seulement, dans leur promiscuité quotidienne, Esther et Mathias vont développer une intimité les attirant irrémédiablement l’un vers l’autre. Et cette tension sensuelle est un vrai danger pour cette famille. Esther peut-elle continuer à faire confiance à ses proches ? Qui veut du mal aux Cavalieri ?","Virginie Ledoyen,Charlie Dupont,Lannick Gautry","Fabienne Lesieur,Johanne Rigoulot", France,1 Saison,4 Episodes
"
Dark Matter ",,"3,9","3,9","Science Fiction,Thriller","
Depuis 2024
","
60 min
","Jason Dessen est un physicien, professeur et père de famille. Une nuit, alors qu’il rentre à pied dans les rues de Chicago, il est enlevé et projeté dans une version alternative de sa vie. L'émerveillement se transforme rapidement en cauchemar lorsqu'il tente de revenir à la réalité, alors plongé dans le paysage hallucinant des vies qu'il aurait pu vivre. Dans ce labyrinthe de réalités, il se lance dans un voyage déchirant pour retrouver sa vraie famille et la sauver de l'ennemi le plus terrifiant et le plus difficile à battre : lui-même.","Joel Edgerton,Jennifer Connelly,Alice Braga",Blake Crouch, U.S.A.,1 Saison,9 Episodes
"
Les Gouttes de Dieu ",Drops of God,"4,1","4,0",Drame,"
Depuis 2023
","
52 min
","Le monde de la gastronomie et du savoir-boire est en deuil : Alexandre Léger, créateur du célèbre Guide des vins Léger et figure tutélaire de l’œnologie, vient de s’éteindre à 60 ans dans sa demeure de Tokyo. Il laisse derrière lui une fille, Camille (29 ans), qui vit à Paris. La jeune femme se rend à Tokyo. Lors de la lecture du testament, elle découvre que son père a rassemblé la plus grande collection de vins au monde. Sauf que pour prétendre à cet héritage, Camille devra affronter un jeune et brillant œnologue, Tomine Issei (29 ans également), qu’Alexandre a formé et qu’il qualifie, dans son testament, de “fils spirituel”.","Tomohisa Yamashita,Fleur Geffrier,Tom Wozniczka",Quoc Dang Tran," France, U.S.A., Japon",2 Saisons,9 Episodes
