acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Lisette Pagler,Pia Halvorsen,Johan Paulsen",2012 - 2014,"Äkta Människor (""les véritables humains"") se situe dans un monde parallèle où les robots humanoïdes (Hubot) sont devenus des machines courantes dans la société. Ces Hubots sont très réalistes et sont configurés de telle sorte à remplir une large demande. S'adaptant à tous les besoins humains, de la simple tâche ménagère à des activités plus dangereuses voire illégales, la société semble en dépendre. Une partie de la population refuse alors l'intégration de ces robots tandis que les machines manifestent des signes d'indépendance et de personnalité propre.",55 min,Science Fiction,2 Saisons,20 Episodes, Suède,Lars Lundström,"4,3",,Real Humans,Äkta människor
"Sarah Paulson,Finn Wittrock,Cynthia Nixon",2020,"Comment l'infirmière Ratched est devenue au fil des années un monstre ? Cette série a pour but de le raconter, un meurtre à la fois...,Préquel du film , sur l'infirmière Ratched.",50 min,"Drame,Thriller",1 Saison,8 Episodes, U.S.A.,"Evan Romansky,Ryan Murphy","3,1","3,9",Ratched,
"Rami Malek,Christian Slater,Portia Doubleday",2015 - 2019,Elliot est un jeune programmeur anti-social qui souffre d'un trouble du comportement qui le pousse à croire qu'il ne peut rencontrer des gens qu'en les hackant. Il travaille pour une firme spécialisée dans la cyber-sécurité mais un homme connu sous le nom de Mr Robot l'approche un jour pour faire tomber une compagnie surpuissante qui fait partie de celles qu'il doit justement protéger...,45 min,"Drame,Thriller",4 Saisons,45 Episodes, U.S.A.,Sam Esmail,"4,3","4,3",Mr. Robot,
"Dan Castellaneta,Dan Castellaneta,Nancy Cartwright",Depuis 1989,"Les Simpson, famille américaine moyenne, vivent à Springfield. Homer, le père, a deux passions : regarder la télé et boire des bières. Mais son quotidien est rarement reposant, entre son fils Bart qui fait toutes les bêtises possibles, sa fille Lisa qui est une surdouée, ou encore sa femme Marge qui ne supporte pas de le voir se soûler à longueur de journée.",22 min,"Animation,Comédie",36 Saisons,790 Episodes, U.S.A.,Matt Groening,"4,3",,Les Simpson,The Simpsons
"Paul Moulin,Louis C.K.,Perkins Lyautey",Depuis 2021,"Blanche Gardin est une humoriste à succès. Tout lui réussit mais elle souffre d’un problème digestif chronique qui la fait énormément souffrir. Elle se rend chez un naturopathe adepte de la pensée positive qui lui explique que son problème vient de l’autodérision dont elle fait preuve sur scène. Blanche prend conscience que son salut est dans la bienveillance qu’elle doit enfin exercer vis-à-vis d’elle-même. Elle prend alors une décision radicale : elle arrête l’humour. Elle l’annonce à son agent et sur les réseaux sociaux, et s’engage sur la route du développement personnel, de la quête du bien-être et de la recherche spirituelle afin de devenir une meilleure version d’elle-même.",26 min,Comédie,1 Saison,9 Episodes, France,"Blanche Gardin,Béatrice Fournera,Noé Debré","3,2","3,3",La meilleure version de moi-même,
"Daniel Wu,Emily Beecham,Aramis Knight",2015 - 2019,"Dans un pays contrôlé par des barons, un grand guerrier et un jeune garçon s'engagent dans une aventure à travers des contrées dangereuses afin d'y trouver la liberté...",42 min,"Action,Drame,Arts Martiaux",3 Saisons,32 Episodes, U.S.A.,"Alfred Gough,Miles Millar","4,1",,Into the Badlands,
"Esme Creed-Miles,Mireille Enos,Joel Kinnaman",Depuis 2019,"Hanna a passé toute sa jeunesse à s'entraîner pour combattre ceux qui la traque, elle et son père mercenaire, Erik Heller, dans les bois isolés d'Europe de l’Est. Ses capacités de survie sont mises à l'épreuve lorsqu’elle et Erik sont séparés après avoir été repérés par une espionne de la CIA, Marissa Wiegler, entourée de ses agents. Hanna n'a pas d'autre choix que d'entreprendre seule un périlleux voyage à travers l'Europe alors qu'elle cherche à retrouver son père et à échapper – ainsi qu’à faire tomber - les menaces qui les visent. L'éducation isolée de Hanna lui offre des capacités physiques et émotionnelles particulièrement intimidantes alors qu'elle est forcée d'affronter une conspiration de plus en plus profonde - une conspiration qui pourrait les mener, son père et elle, à leur perte.",60 min,"Action,Drame,Thriller",3 Saisons,22 Episodes, U.S.A.,David Farr,"3,2","3,7",Hanna,
"Dee Bradley Baker,Michelle Ang,Rhea Perlman",2021 - 2024,L’escouade Bad Batch - une troupe d’élite de clones expérimentaux génétiquement différente de ceux constituant la grande armée de la République - trouve ses marques dans une galaxie en pleine transformation à l’issue de la Guerre des Clones.,30 min,"Action,Aventure,Animation,Science Fiction",3 Saisons,47 Episodes, U.S.A.,"Jennifer Corbett,Dave Filoni","4,0",,Star Wars: The Bad Batch,
"Miriam Leone,Matteo Martari,Thomas Trabacchi",Depuis 2015,"Inspectrice à la brigade criminelle de Turin, Valeria est une enquêtrice aussi tenace que talentueuse. La jeune femme s'attache à reconstituer le puzzle complexe qui se dissimule derrière chaque affaire, tout en luttant contre les fantômes de son passé. Ceux-ci ressurgissent violemment dans sa vie au moment où sa mère est libérée de prison...",90 min,Policier,2 Saisons,48 Episodes, Italie,"Giuseppe Gagliardi,Claudio Corbucci","3,3",,Squadra Criminale,Non Uccidere
"Verónica Sánchez,Lali Espósito,Yany Prado",2021 - 2023,"L'histoire de Coral, Wendy et Gina qui tentent de fuir Moisés et Christian, hommes de main de Romeo, proxénète et propriétaire du club Las Novias. Ensemble, elles se lancent dans une redoutable course contre la montre au cours de laquelle elles devront affronter toutes sortes de dangers. Leur seul objectif : rester en vie cinq minutes de plus …",25 min,"Action,Drame,Thriller",3 Saisons,24 Episodes, Espagne,"Álex Pina,Esther Martínez Lobato","3,2","3,8",Sky Rojo,
"Mario Casas,Aura Garrido,Alexandra Jiménez",2021,"Après avoir tué accidentellement un homme, il plonge dans une spirale tragique. Mais comme il retrouve enfin amour et liberté, un coup de fil vient raviver son cauchemar.",60 min,"Drame,Judiciaire,Thriller",1 Saison,8 Episodes, Espagne,Oriol Paulo,"4,0",,Innocent,El Inocente
"Kevin McKidd,Ray Stevenson,Ciarán Hinds",2005 - 2007,Les destins de deux soldats romains et de leurs familles alors que la République Romaine est en train de s'effondrer en laissant peu à peu la place à un Empire.,52 min,"Action,Drame,Historique,Guerre",2 Saisons,22 Episodes," U.S.A., Grande-Bretagne","John Milius,William J. MacDonald","4,0",,Rome,
"Juanita Arias,Sofia Engberg,Oka Giner",Depuis 2021,Cinq femmes avec la même tache de naissance décident de faire la lumière sur leur passé et découvrent un tragique tissu de mensonges élaboré par un politicien puissant.,40 min,Drame,1 Saison,18 Episodes, Mexique,Jimena Romero,"3,4",,Au nom de la vengeance,La venganza de las Juanas
