acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Xavier Dolan,Pierre-Yves Cardinal,Lise Roy",16 avril 2014,"Un jeune publicitaire voyage jusqu'au fin fond de la campagne pour des funérailles et constate que personne n’y connaît son nom ni la nature de sa relation avec le défunt. Lorsque le frère aîné de celui-ci lui impose un jeu de rôles malsain visant à protéger sa mère et l'honneur de leur famille, une relation toxique s'amorce bientôt pour ne s'arrêter que lorsque la vérité éclatera enfin, quelles qu'en soient les conséquences.",103,"Drame,Thriller",Français," Canada, France","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Xavier Dolan,"3,5","3,5",Tom à la ferme,
"Tom Castaing,Léonard Fauquet,Mathys Gros",18 janvier 2023,"À l’aube de la Première Guerre mondiale, dans un village de Picardie, quatre amis inséparables, Lucas, Luigi, Lucien et Ludwig, forment la bande des Lulus. Ces orphelins sont toujours prêts à unir leurs forces pour affronter la bande rivale d’Octave ou pour échapper à la surveillance de l’Abbé Turpin… Lorsque l’orphelinat de l’Abbaye de Valencourt est évacué en urgence, les Lulus manquent à l’appel. Oubliés derrière la ligne de front ennemie, les voilà livrés à eux-mêmes en plein conflit. Bientôt rejoints par Luce, une jeune fille séparée de ses parents, ils décident coûte que coûte de rejoindre la Suisse, le « pays jamais en guerre »... les voilà projetés avec toute l’innocence et la naïveté de leur âge dans une aventure à laquelle rien ni personne ne les a préparés !",109,"Aventure,Famille,Historique",Français," France, Luxembourg",,Yann Samuell,"2,8","3,4",La Guerre des Lulus,
"Lady Gaga,Bradley Cooper,Sam Elliott",3 octobre 2018,"Star de country un peu oubliée, Jackson Maine découvre Ally, une jeune chanteuse très prometteuse. Tandis qu'ils tombent follement amoureux l'un de l'autre, Jack propulse Ally sur le devant de la scène et fait d'elle une artiste adulée par le public. Bientôt éclipsé par le succès de la jeune femme, il vit de plus en plus mal son propre déclin…",136,"Drame,Romance",-, U.S.A.,,Bradley Cooper,"3,3","4,1",A Star Is Born,
"Tomer Sisley,Kristin Scott Thomas,Predrag 'Miki' Manojlovic",17 décembre 2008,Le milliardaire Nerio Winch est retrouvé noyé. Une mort forcément suspecte quand on sait qu'il s'agit du fondateur et principal actionnaire du puissant et tentaculaire Groupe W.,108,"Action,Aventure","Anglais, Français, Portugais, Serbe"," France, Belgique",,Jérôme Salle,"3,3","2,8",Largo Winch,
"Emma Watson,Dan Stevens,Luke Evans",22 mars 2017,"Fin du XVIIIè siècle, dans un petit village français. Belle, jeune fille rêveuse et passionnée de littérature, vit avec son père, un vieil inventeur farfelu. S'étant perdu une nuit dans la fôret, ce dernier se réfugie au château de la Bête, qui le jette au cachot. Ne pouvant supporter de voir son père emprisonné, Belle accepte alors de prendre sa place, ignorant que sous le masque du monstre se cache un Prince Charmant tremblant d'amour pour elle, mais victime d'une terrible malédiction.",129,"Fantastique,Comédie musicale,Romance",-, U.S.A.,,Bill Condon,"3,1","3,8",La Belle et la Bête,Beauty And The Beast
"Jamel Debbouze,Samy Naceri,Roschdy Zem",27 septembre 2006,"En 1943, alors que la France tente de se libérer de la domination nazie, le parcours de quatre ""indigènes"", soldats oubliés de la première armée française recrutée en Afrique.",128,"Drame,Historique,Guerre",Long métrage," France, Algérie, Belgique, Maroc",,Rachid Bouchareb,"3,9","3,3",Indigènes,
"Nawell Madani,François Berléand,Mimoun Benabderrahmane",29 novembre 2017,"Depuis toute petite, Lila veut devenir danseuse, n’en déplaise à son père.",103,Comédie dramatique,-, France,,Nawell Madani,"3,0","3,6",C'est tout pour moi,
"Brad Pitt,Jessica Chastain,Sean Penn",17 mai 2011,"Jack grandit entre un père autoritaire et une mère aimante, qui lui donne foi en la vie. La naissance de ses deux frères l'oblige bientôt à partager cet amour inconditionnel, alors qu'il affronte l'individualisme forcené d'un père obsédé par la réussite de ses enfants. Jusqu'au jour où un tragique événement vient troubler cet équilibre précaire...",138,"Drame,Fantastique",-, U.S.A.,,Terrence Malick,"3,5","2,8",The Tree of Life,
"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh",6 janvier 2016,"Quelques années après la Guerre de Sécession, le chasseur de primes John Ruth, dit Le Bourreau, fait route vers Red Rock, où il conduit sa prisonnière Daisy Domergue se faire pendre. Sur leur route, ils rencontrent le Major Marquis Warren, un ancien soldat lui aussi devenu chasseur de primes, et Chris Mannix, le nouveau shérif de Red Rock. Surpris par le blizzard, ils trouvent refuge dans une auberge au milieu des montagnes, où ils sont accueillis par quatre personnages énigmatiques : le confédéré, le mexicain, le cowboy et le court-sur-pattes. Alors que la tempête s’abat au-dessus du massif, l’auberge va abriter une série de tromperies et de trahisons. L’un de ces huit salopards n’est pas celui qu’il prétend être ; il y a fort à parier que tout le monde ne sortira pas vivant de l’auberge de Minnie…",168,Western,-, U.S.A.,Interdit - 12 ans avec avertissement,Quentin Tarantino,"3,3","4,1",Les Huit salopards,The Hateful Eight
"Michelle Dockery,Hugh Bonneville,Maggie Smith",25 septembre 2019,"Les Crawley et leur personnel intrépide se préparent à vivre l'événement le plus important de leur vie : une visite du roi et de la reine d'Angleterre. Cette venue ne tardera pas à déclencher scandales, intrigues amoureuses et manigances qui pèseront sur l'avenir même de Downton.",123,"Drame,Historique",-, Grande-Bretagne,,Michael Engler,"3,2","3,8",Downton Abbey,
