acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Mathieu Kassovitz,Yvan Attal,Alma Jodorowsky",24 avril 2024,"L’histoire vraie de deux petits garçons de 5 et 7 ans qui, abandonnés par leur mère en 1948, s'enfuient dans la forêt. Ils vont y survivre pendant sept années et tisser un lien qui les unira à jamais. Des décennies plus tard, les deux frères quittent tout pour se retrouver. Mais le passé et les secrets les rattrapent, même à l'autre bout du monde.",106,Drame,Français, France,Tout public,Olivier Casas,"2,8","4,1",Frères,
"Jakub Gierszal,Maja Ostaszewska,Zofia Jastrzebska",29 mai 2024,Un meurtre horrible sur une plage de la Tricité dévoile un monde criminel insoupçonné et met à l'épreuve le courage d'un procureur et d'une mère éplorée en quête de réponses.,111,"Policier,Drame,Thriller",-, Pologne,,Adrian Panek,"3,0",,Les Couleurs du mal : Rouge,Kolory zla. Czerwien
"Ryan Gosling,Rachel McAdams,James Garner",8 septembre 2004,"Atteinte de la maladie d'Alzheimer, Allie vit en maison de retraite. Chaque jour, Noah lui lit le même livre. Il s'agit du carnet où Allie a consigné sa propre histoire, lorsqu'elle a appris sa maladie. Pour ne pas oublier ses sentiments, elle a écrit, et Noah, inlassablement, lui relit ses propres mots.",121,"Drame,Romance",-, U.S.A.,,Nick Cassavetes,"2,6","4,2",N'oublie jamais,The Notebook
"Michel Serrault,Isabelle Adjani,Guy Marchand",9 mars 1983,"L'Oeil est un détective privé chargé d'enquêter sur une certaine Lucie Brentano, une aventurière qui fréquente un fils de bonne famille. Très vite, L'Oeil a la preuve que la jeune femme est une meurtrière, mais il ne la dénonce pas car il croit ou veut reconnaître en elle Marie, sa propre fille qu'il n'a pas revue depuis que sa femme l'a quitté, il y a vingt ans. Il se met donc à suivre la meurtrière à travers l'Europe.",120,"Drame,Thriller",-, France,,Claude Miller,"3,2",,Mortelle randonnée,
"Jason Statham,Emmy Raver-Lampman,Josh Hutcherson",16 mai 2024,"La vengeance d'un homme prend une dimension nationale après qu'il se soit révélé être un ancien agent d'une puissante organisation clandestine connue sous le nom de ""Beekeepers"".",105,"Action,Thriller",-, U.S.A.,,David Ayer,"3,0",,The Beekeeper,
"Franck Dubosc,Karin Viard,Clotilde Courau",27 septembre 2023,"Amoureux de Diane comme au premier jour, Alain traverse la cinquantaine sans crise. Même le départ des enfants, il l’a bien vécu. Diane moins.… Cette période, elle l’entame avec la sensation qu’elle pourrait mourir d’ennui ou d’angoisse. Pour Alain, qui voit pour la première fois son couple vaciller, il est temps de se poser les questions essentielles, et de prendre un risque majeur après 30 ans de vie commune : quitter Diane pour réveiller la flamme et l’envie de se retrouver. Nouveau Départ, c’est l’histoire d’une histoire d’amour à quitte ou double.",97,"Comédie,Romance",-, France,,Philippe Lefebvre,"3,3","3,2",Nouveau départ,
"Kate Bosworth,Thomas Kretschmann,Lucien Laviscount",12 juin 2024,"Sur une base militaire isolée au bord d'un vaste océan, deux soldats attendent la fin de leur service de deux ans. Lorsqu'il y a un retard et que le navire tant attendu arrive vide, la tension entre eux commence à monter, et la situation devient incontrôlable...",117,"Drame,Science Fiction,Thriller",Long métrage," Grande-Bretagne, Allemagne, Estonie",,Tanel Toom,"2,3",,Sentinel,Last Sentinel
"Agnès Jaoui,William Lebghil,Salif Cissé",6 mars 2024,"Pierre, 33 ans, fleuriste à succès, voit sa vie basculer lorsque sa mère, Judith, fantasque et excessive, débarque dans sa vie après deux ans sans se voir. Pierre n’a qu’une idée, reprendre le cours normal de sa vie, mais rien ne se passe comme prévu. Leurs retrouvailles, aussi inattendues qu’explosives, vont transformer Pierre et Judith à jamais.",103,Comédie dramatique,-, France,Tout public,Julien Carpentier,"3,7","3,9",La Vie de ma mère,
"Eric Judor,Célia Rosich,Michel Nabokov",10 mai 2017,"Jeanne et Victor sont deux jeunes Parisiens de retour de vacances. En chemin, ils font une halte pour saluer leur ami Jean-Paul, sur la prairie où sa communauté a élu résidence. Le groupe lutte contre la construction d’un parc aquatique sur la dernière zone humide de la région, et plus généralement contre la société moderne, la grande Babylone. Séduits par une communauté qui prône le « vivre autrement », où l’individualisme, la technologie et les distinctions de genre sont abolis, Jeanne et Victor acceptent l’invitation qui leur est faite de rester quelques jours. Lorsqu’un beau matin la barrière de CRS qui leur fait face a disparu…la Communauté pense l’avoir emporté sur le monde moderne. Mais le plaisir est de courte durée…à l’exception de leur campement, la population terrestre a été décimée par une terrible pandémie. Ce qui fait du groupe les derniers survivants du monde. Va-t-il falloir se trouver de nouveaux ennemis pour survivre ?",85,Comédie,-, France,,Eric Judor,"3,3","2,8",Problemos,
"Georgina Campbell,Bill Skarsgård,Justin Long",26 octobre 2022,"Se rendant à Détroit pour un entretien d'embauche, Tess se retrouve à louer un « Airbnb » le temps de son séjour. Mais lorsqu'elle arrive tard dans la nuit, elle découvre que la demeure est déjà occupée et qu’un homme étrange du nom de Keith y séjourne déjà... Malgré la gêne, elle décide résignée d'y passer la nuit, les hôtels des environs étant complets. Mais réveillée dans son sommeil par des sons mystérieux, Tess va s’embarquer malgré elle dans une série de découvertes terrifiantes...",103,"Epouvante-horreur,Thriller",-, U.S.A.,,Zach Cregger,"4,2","3,3",Barbare,Barbarian
"Rebecca Marder,André Marcon,Anthony Bajon",26 janvier 2022,"Irène, jeune fille juive, vit l’élan de ses 19 ans à Paris, l’été 1942. Sa famille la regarde découvrir le monde, ses amitiés, son nouvel amour, sa passion du théâtre… Irène veut devenir actrice et ses journées s’enchaînent dans l’insouciance de sa jeunesse.",98,"Drame,Historique",-, France,,Sandrine Kiberlain,"3,6","3,3",Une jeune fille qui va bien,
"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",15 septembre 2021,"L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la ressource la plus précieuse au monde, capable de décupler la puissance de l'humanité. Tandis que des forces maléfiques se disputent le contrôle de cette planète, seuls ceux qui parviennent à dominer leur peur pourront survivre…",156,"Drame,Science Fiction",-, U.S.A.,,Denis Villeneuve,"4,0","4,2",Dune,
"Saoirse Ronan,Margot Robbie,Jack Lowden",27 février 2019,"Le destin tumultueux de la charismatique Marie Stuart. Épouse du Roi de France à 16 ans, elle se retrouve veuve à 18 ans et refuse de se remarier conformément à la tradition. Au lieu de cela elle repart dans son Écosse natale réclamer le trône qui lui revient de droit. Mais la poigne d’Élisabeth Iʳᵉ s’étend aussi bien sur l’Angleterre que l’Écosse. Les deux jeunes reines ne tardent pas à devenir de véritables sœurs ennemies et, entre peur et fascination réciproques, se battent pour la couronne d’Angleterre. Rivales aussi bien en pouvoir qu’en amour, toutes deux régnant sur un monde dirigé par des hommes, elles doivent impérativement statuer entre les liens du mariage ou leur indépendance. Mais Marie menace la souveraineté d’Elisabeth. Leurs deux cours sont minées par la trahison, la conspiration et la révolte qui mettent en péril leurs deux trônes et menacent de changer le cours de l’Histoire.",124,"Biopic,Drame,Historique",Anglais," U.S.A., Grande-Bretagne",,Josie Rourke,"3,4","3,2","Marie Stuart, Reine d'Ecosse",Mary Queen of Scots
"Jean-Paul Rouve,Kim Higelin,Laetitia Casta",11 octobre 2023,"Paris, 1985. Vanessa a treize ans lorsqu'elle rencontre Gabriel Matzneff, écrivain quinquagénaire de renom. La jeune adolescente devient l'amante et la muse de cet homme célébré par le monde culturel et politique. Se perdant dans la relation, elle subit de plus en plus violemment l’emprise destructrice que ce prédateur exerce sur elle.",118,"Biopic,Drame",Français," France, Belgique",Interdit - 12 ans avec avertissement,Vanessa Filho,"3,0","3,6",Le Consentement,
"Dane DeHaan,Cara Delevingne,Clive Owen",26 juillet 2017,"Au 28ème siècle, Valérian et Laureline forment une équipe d'agents spatio-temporels chargés de maintenir l'ordre dans les territoires humains. Mandaté par le Ministre de la Défense, le duo part en mission sur l’extraordinaire cité intergalactique Alpha - une métropole en constante expansion où des espèces venues de l'univers tout entier ont convergé au fil des siècles pour partager leurs connaissances, leur savoir-faire et leur culture. Un mystère se cache au cœur d'Alpha, une force obscure qui menace l'existence paisible de la Cité des Mille Planètes. Valérian et Laureline vont devoir engager une course contre la montre pour identifier la terrible menace et sauvegarder non seulement Alpha, mais l'avenir de l'univers.",137,"Action,Aventure,Fantastique,Science Fiction",2017," France, Chine, Belgique, Emirats Arabes Unis, U.S.A., Allemagne, Canada, Grande-Bretagne",,Luc Besson,"3,0","3,3",Valérian et la Cité des mille planètes,Valerian and the City of a Thousand Planets
"Dakota Fanning,Georgina Campbell,Olwen Fouéré",12 juin 2024,"Perdue dans une forêt, Mina trouve refuge dans une maison déjà occupée par trois personnes. Elle va alors découvrir les règles de ce lieu très secret : chaque nuit, les habitants doivent se laisser observer par les mystérieux occupants de cette forêt. Ils ne peuvent pas les voir, mais eux regardent tout.",102,"Fantastique,Epouvante-horreur,Thriller",-, U.S.A.,Interdit - 12 ans,Ishana Shyamalan,"2,5","2,5",Les Guetteurs,The Watchers
"Irène Jacob,Grégoire Colin,Cyril Gueï",5 juin 2024,"1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.",112,"Drame,Historique",-," Cambodge, France, Qatar, Taïwan, Turquie",Tout public,Rithy Panh,"3,3","3,5",Rendez-vous avec Pol Pot,
"Marc-André Grondin,Yves Jacques,Anne-Elisabeth Bossé",21 février 2024,"Heureux et accompli, Ellias devient le nouveau directeur artistique d’une célèbre maison de Haute Couture française. Quand il apprend que son père, qu’il ne voit plus depuis de nombreuses années, vient de mourir d’une crise cardiaque, Ellias se rend au Québec pour régler la succession. Le jeune créateur va découvrir qu’il a hérité de bien pire que du coeur fragile de son père.",112,Drame,-," France, Canada, Belgique",,Xavier Legrand,"3,3","3,6",Le Successeur,
"Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum",13 octobre 2021,"Installée à Oslo, Julie est une jeune trentenaire pleine de ressources, mais qui cherche encore sa voie. Bien qu'heureuse avec Aksel, un dessinateur à succès, aimant et protecteur, elle refuse l'enfant qu'il désire. Elle le quitte pour Eivind, espérant une fois de plus commencer une nouvelle vie...",128,"Comédie,Drame",-, Norvège,,Joachim Trier,"4,2","3,9",Julie (en 12 chapitres),Verdens verste menneske
"Rémy Girard,Lubna Azabal,Mélissa Désormeaux-Poulin",12 janvier 2011,"A la lecture du testament de leur mère, Jeanne et Simon Marwan se voient remettre deux enveloppes : l’une destinée à un père qu’ils croyaient mort et l‘autre à un frère dont ils ignoraient l’existence.",123,Drame,-, Canada,,Denis Villeneuve,"3,8","4,3",Incendies,
"Didier Bourdon,Eric Fraticelli,Philippe Corti",1 novembre 2023,L’histoire vraie de trois amis qui découvrent un trésor… inestimable !,92,Comédie,-, France,,Eric Fraticelli,"2,6",,Inestimable,
"Daniel Kaluuya,Allison Williams,Catherine Keener",3 mai 2017,"Couple mixte, Chris et sa petite amie Rose  filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",104,Thriller,-, U.S.A.,Interdit - 12 ans,Jordan Peele,"4,0","4,1",Get Out,
"Lino Ventura,Simone Signoret,Paul Crauchet",12 septembre 1969,"France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il prépare son évasion, il est récupéré par la Gestapo...",143,"Drame,Guerre",Français," France, Italie",,Jean-Pierre Melville,"4,5","4,3",L'Armée des Ombres,
"Pierre Niney,Lou de Laâge,André Dussollier",8 septembre 2021,"Que s’est-il passé à bord du vol Dubaï-Paris avant son crash dans le massif alpin ? Technicien au BEA, autorité responsable des enquêtes de sécurité dans l’aviation civile, Mathieu Vasseur est propulsé enquêteur en chef sur une catastrophe aérienne sans précédent. Erreur de pilotage ? Défaillance technique ? Acte terroriste ? L’analyse minutieuse des boîtes noires va pousser Mathieu à mener en secret sa propre investigation. Il ignore encore jusqu’où va le mener sa quête de vérité.",130,"Drame,Thriller",-, France,,Yann Gozlan,"3,8","4,2",Boîte noire,
"Jean-Paul Rouve,Marilou Berry,Omar Sy",28 juin 2006,"Vincent Rousseau dirige pour la première fois une colonie de vacances et se retrouve plongé pendant trois semaines dans l'univers des colos avec petites histoires et gros soucis à la clef! Vincent se retrouve alors confronté à la vie mouvementée du camp, de ses animateurs plus ou moins professionnels et des ados pas toujours évidents à gérer...",103,Comédie,-, France,,Eric Toledano,"3,4","3,9",Nos jours heureux,
"Vincent Cassel,François Civil,Romain Duris",13 décembre 2023,"Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.",115,"Aventure,Historique",-, France,,Martin Bourboulon,"3,3","3,6",Les Trois Mousquetaires: Milady,
"Raphaël Quenard,Agathe Rousselle,Igor Gotesman",6 juillet 2023,"À Chartres, les Breuil, à la tête d’un important groupe de parfums, règnent sur la ville de père en fils. Toujours à Chartres, mais à des années-lumière de ce monde de luxe, Daniel Sauveur ne supporte plus la richesse insolente des Breuil et vit de petites combines. Quand le projet qu’il a monté avec son copain d’enfance est sabordé par le groupe, il n’a plus qu’une idée en tête : se venger. Il se débrouille alors pour être embauché dans l’usine familiale et convainc ses collègues de dérober une partie du stock. Avec toujours le même objectif : faire tomber la plus puissante dynastie de la ville…",95,"Comédie,Drame",-, France,,Jérémie Rozan,"3,3","3,6",Cash,
"Jonathan Cohen,Emmanuelle Bercot,Raphaël Quenard",8 septembre 2023,"François Sentinelle mène une double vie. Le jour, il est le flic le plus médiatique de l’Île de la Réunion, connu pour ses méthodes musclées et ses chemises à fleur, poursuivant les criminels à bord de son célèbre defender jaune. Mais hors des heures de service (et bien souvent pendant), Sentinelle a un autre métier : chanteur de charme. Tous les réunionnais ont dansé sur ""Le Kiki"", son tube de jeunesse aujourd'hui un peu embarrassant. Depuis quinze ans, il essaye de renouer avec le succès en préparant un nouvel album… sans succès. Mais entre la police et la musique, Sentinelle ne veut pas choisir. Alors qu’il reste affairé à ses concerts et la sortie de son album, une vague de crimes violents secoue l’île. Une figure de l’élite locale est kidnappée, une autre assassinée. Pour n’importe quel flic, ce serait l’affaire d’une vie. Mais Sentinelle, tout à sa musique, n’a pas vraiment la tête à enquêter.",99,"Comédie,Policier",-, France,,Hugo Benamozig,"3,6","2,2",Sentinelle,
"Léa Seydoux,Louis Garrel,Vincent Lindon",14 mai 2024,"Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.",80,Comédie,-, France,Tout public,Quentin Dupieux,"3,8","3,3",Le Deuxième acte,
"Galatea Bellugi,Carlotta Gamba,Veronica Lucchesi",12 juin 2024,"Venise, au 18ème siècle. A l'Institut Sant'Ignazio, orphelinat et conservatoire pour jeunes filles, tout le monde s'agite en vue de la visite imminente du nouveau Pape et du grand concert qui sera donné en son honneur. Teresa, jeune domestique silencieuse et solitaire, fait alors une découverte exceptionnelle qui va révolutionner la vie du conservatoire : un piano-forte.",106,"Drame,Historique,Musical",Italien," Italie, Suisse",Tout public,Margherita Vicario,"2,6","3,4",Gloria!,
"Jessica Chastain,Peter Sarsgaard,Brooke Timber",29 mai 2024,"Sylvia mène une vie simple, structurée par sa fille, son travail et ses réunions des AA. Pourtant, ses retrouvailles avec Saul bouleversent leurs existences, réveillant des souvenirs douloureux que chacun avait enfouis jusque-là.",100,Drame,-," U.S.A., Mexique, Chili",Tout public,Michel Franco,"3,8","3,9",Memory,
"Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin",12 juin 2024,"Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.",96,Drame,-, France,Tout public,Blandine Lenoir,"3,4","3,5",Juliette au printemps,
"Rossy de Palma,André Dussollier,Eduardo Noriega",12 juin 2024,"Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.",109,"Comédie,Drame",-, France,Tout public avec avertissement,Marjane Satrapi,"2,8","2,4",Paradis Paris,
"Anamaria Vartolomei,Matt Dillon,Yvan Attal",19 juin 2024,Maria n’est plus une enfant et pas encore une adulte lorsqu’elle enflamme la pellicule d’un film sulfureux devenu culte : ,100,"Biopic,Drame",-, France,Tout public avec avertissement,Jessica Palud,"3,2","3,6",Maria,
"Owen Teague,Freya Allan,Peter Macon",8 mai 2024,"Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains...",145,"Action,Aventure,Science Fiction",-, U.S.A.,Tout public,Wes Ball,"3,2","3,6",La Planète des Singes : Le Nouveau Royaume,Kingdom of the Planet of the Apes
"Daniel Auteuil,Sandrine Kiberlain,Denis Podalydès",5 juin 2024,"Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.",96,Comédie,-, France,Tout public,Bruno Podalydès,"3,7","2,6",La Petite vadrouille,
"Will Smith,Martin Lawrence,Vanessa Hudgens",5 juin 2024,"Cet été, la franchise Bad Boys est de retour avec son mélange iconique d'action explosive et d'humour irrévérencieux. Mais cette fois-ci, les meilleurs flics de Miami deviennent les hommes les plus recherchés d'Amérique.",115,Action,-, U.S.A.,Tout public,Adil El Arbi,"2,6","3,5",Bad Boys Ride or Die,
"Anya Taylor-Joy,Chris Hemsworth,Tom Burke",22 mai 2024,"Dans un monde en déclin, la jeune Furiosa est arrachée à la Terre Verte et capturée par une horde de motards dirigée par le redoutable Dementus. Alors qu’elle tente de survivre à la Désolation, à Immortan Joe et de retrouver le chemin de chez elle, Furiosa n’a qu’une seule obsession : la vengeance.",148,"Action,Science Fiction",Anglais," Australie, U.S.A.",Interdit - 12 ans,George Miller,"4,0","4,1",Furiosa: une saga Mad Max,Furiosa: A Mad Max Saga
"Bérénice Bejo,Nassim Lyes,Anaïs Parello",5 juin 2024,"Été 2024, Paris accueille pour la première fois les championnats du monde de triathlon sur la Seine. Sophia, brillante scientifique, est alertée par Mika, une jeune activiste dévouée à l’écologie, de la présence d'un grand requin dans les profondeurs du fleuve. Elles n’ont d’autre choix que de faire équipe avec Adil, commandant de la police fluviale pour éviter un bain de sang au cœur de la ville.",104,"Action,Thriller",-, France,,Xavier Gens,"2,0","1,7",Sous la Seine,
"Charlotte Le Bon,Amy Poehler,Jaynelia Coadou",19 juin 2024,"Fraichement diplômée, Riley est désormais une adolescente, ce qui n’est pas sans déclencher un chamboulement majeur au sein du quartier général qui doit faire face à quelque chose d’inattendu : l’arrivée de nouvelles émotions ! Joie, Tristesse, Colère, Peur et Dégoût - qui ont longtemps fonctionné avec succès - ne savent pas trop comment réagir lorsqu’Anxiété débarque. Et il semble qu'elle ne soit pas la seule...",96,"Aventure,Animation,Comédie,Famille",-, U.S.A.,Tout public,Kelsey Mann,"3,7","4,0",Vice-Versa 2,Inside Out 2
" Artus,Clovis Cornillac,Marc Riso",1 mai 2024,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais.",99,Comédie,-, France,Tout public,Artus,"3,0","4,3",Un p’tit truc en plus,
"Kad Merad,Dany Boon,Zoé Félix",20 février 2008,"Philippe Abrams est directeur de la poste de Salon-de-Provence. Il est marié à Julie, dont le caractère dépressif lui rend la vie impossible. Pour lui faire plaisir, Philippe fraude afin d'obtenir une mutation sur la Côte d'Azur. Mais il est démasqué: il sera muté à Bergues, petite ville du Nord.",106,Comédie,35mm, France,,Dany Boon,"3,6","3,1",Bienvenue chez les Ch'tis,
"Asa Butterfield,Vera Farmiga,David Thewlis",12 août 2009,"Seconde Guerre mondiale. Bruno a tout juste 9 ans lorsque son père, un officier nazi remarqué par le Führer, se voit confier le commandement du camp de concentration d'Auschwitz. Le petit garçon n'apprécie guère de devoir quitter la belle et grande maison de Berlin pour se retrouver dans une demeure isolée et triste. De sa chambre, il aperçoit des hommes, des femmes et des enfants tous vêtus de pyjamas rayés. Personne ne lui explique qui ils sont, mais l'innocence aidant, il va se lier d'amitié avec un enfant juif...",90,"Drame,Guerre",5 000 000 USD," U.S.A., Grande-Bretagne",,Mark Herman,"4,2",,Le Garçon au pyjama rayé,The Boy in the Striped Pyjamas
"Vincent Dedienne,Géraldine Nakache,Clémence Poésy",22 novembre 2023,"Louis c'est ce mec super gentil. Et dans son cabinet d'avocat, ce n'est pas un compliment. Le jour où son médecin lui diagnostique par erreur une maladie grave, le regard des autres change : on fait attention à lui, on lui pose des questions et on écoute les réponses, Louis existe enfin ! Alors bien évidemment, il hésite à dire qu'il va très bien.",101,Comédie,-, France,,Rudy Milstein,"3,3","3,4",Je ne suis pas un héros,
"Karim Leklou,Vimala Pons,François Chattot",15 novembre 2023,"Du jour au lendemain, Vincent est agressé à plusieurs reprises et sans raison par des gens qui tentent de le tuer. Son existence d’homme sans histoires en est bouleversée et, quand le phénomène s’amplifie, il n’a d’autre choix que de fuir et de changer son mode de vie.",108,"Comédie,Drame,Fantastique,Thriller",Français," France, Belgique",Interdit - 12 ans,Stephan Castang,"3,6","3,4",Vincent doit mourir,
"Aurélien Wiik,Lola Dewaere,Stéphane Freiss",21 mars 2023,"Tandis qu'un meurtrier, Lucas, s'évade au cours d'un transfert de prison, un étrange phénomène bouleverse soudain la vie d'un village. Des habitants tombent les uns après les autres dans un sommeil prolongé. C’est dans ce climat de panique et d’angoisse que Mathieu, capitaine de gendarmerie au bord du divorce, doit retrouver Lucas et enquêter sur une série de crimes. Avec l’aide d’Élise, médecin spécialiste du sommeil venue en renfort à l’hôpital, il va découvrir l’origine de ces mystérieux endormissements qui n'est pas sans lien avec les meurtres sur lesquels il enquête.",90,Policier,Français, France,,Philippe Dajoux,"2,5",,Le Village des endormis,
"Lyna Khoudri,Anamaria Vartolomei,Camille Cottin",21 février 2024,"Entre Ma Loute et La Vie de Jésus, entre le ciel et la terre, Bruno Dumont nous offre une vision caustique, cruelle et déjantée de La Guerre des étoiles.",110,"Comédie,Comédie dramatique,Drame,Science Fiction",20/06/2024," France, Allemagne, Italie, Belgique, Portugal",,Bruno Dumont,"3,6","2,2",L'Empire,
"Tye Sheridan,Olivia Cooke,Ben Mendelsohn",28 mars 2018,"2045. Le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'œuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS. L'appât du gain provoque une compétition planétaire. Mais lorsqu'un jeune garçon, Wade Watts, qui n'a pourtant pas le profil d'un héros, décide de participer à la chasse au trésor, il est plongé dans un monde parallèle à la fois mystérieux et inquiétant…",140,"Action,Science Fiction",-, U.S.A.,,Steven Spielberg,"4,0","4,2",Ready Player One,
"Vincent Gallo,Chloë Sevigny,Cheryl Tiegs",7 avril 2004,"Bud Clay passe son temps dans des courses de motos. Il essaie en vain d'oublier Daisy, l'amour de sa vie. Après sa dernière course dans le New Hampshire, il se rend en Californie où se déroule la prochaine course. C'est le début d'un voyage à travers l'Amérique durant lequel il va tenter chaque jour de trouver un nouvel amour. Mais il ne peut se résoudre à remplacer la seule et unique fille qu'il ait jamais aimée et qu'il aimera à tout jamais...",90,Drame,-," U.S.A., France, Japon",Interdit - 16 ans,Vincent Gallo,"3,8","2,8",Brown Bunny,The Brown Bunny
"François Cluzet,Omar Sy,Anne Le Ny",2 novembre 2011,"A la suite d’un accident de parapente, Philippe, riche aristocrate, engage comme aide à domicile Driss, un jeune de banlieue tout juste sorti de prison. Bref la personne la moins adaptée pour le job. Ensemble ils vont faire cohabiter Vivaldi et Earth Wind and Fire, le verbe et la vanne, les costumes et les bas de survêtement... Deux univers vont se télescoper, s’apprivoiser, pour donner naissance à une amitié aussi dingue, drôle et forte qu’inattendue, une relation unique qui fera des étincelles et qui les rendra... Intouchables.",112,"Biopic,Comédie,Drame",-, France,,Eric Toledano,"3,7","4,4",Intouchables,
"Arthur Dupont,Déborah François,Thierry Lhermitte",9 novembre 2016,"Julien, trentenaire bonne pâte et modeste, créateur d’applications pour smartphone, est fou d’amour pour Eva, journaliste dans la presse professionnelle. ",85,Comédie,-, France,,Jérôme Commandeur,"3,3","2,2",Ma Famille T'Adore Déjà,
"Paul Walter Hauser,Sam Rockwell,Kathy Bates",19 février 2020,"En 1996, Richard Jewell fait partie de l'équipe chargée de la sécurité des Jeux d'Atlanta. Il est l'un des premiers à alerter de la présence d'une bombe et à sauver des vies. Mais il se retrouve bientôt suspecté... de terrorisme, passant du statut de héros à celui d'homme le plus détesté des Etats-Unis. Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie, sa santé étant endommagée par l'expérience.",129,Drame,-, U.S.A.,,Clint Eastwood,"4,0","4,1",Le Cas Richard Jewell,Richard Jewell
"Matthew McConaughey,Hugh Grant,Charlie Hunnam",5 février 2020,"Quand Mickey Pearson, baron de la drogue à Londres, laisse entendre qu’il pourrait se retirer du marché, il déclenche une guerre explosive : la capitale anglaise devient le théâtre de tous les chantages, complots, trahisons, corruptions et enlèvements… Dans cette jungle où l’on ne distingue plus ses alliés de ses ennemis, il n’y a de la place que pour un seul roi !",113,"Action,Policier",-, U.S.A.,"Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Guy Ritchie,"3,5","4,1",The Gentlemen,
"Margot Robbie,Ryan Gosling,America Ferrera",19 juillet 2023,"A Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken.",115,"Aventure,Comédie,Famille",Anglais," U.S.A., Grande-Bretagne",,Greta Gerwig,"3,5","2,8",Barbie,
